company_name,price_date,price_type,price
DBS,2024-05-21,Actual,26.28
DBS,2024-05-22,Actual,26.65
DBS,2024-05-23,Actual,25.96
DBS,2024-05-24,Actual,26.84
DBS,2024-05-28,Actual,26.9
DBS,2024-05-29,Actual,26.45
DBS,2024-05-30,Actual,26.43
DBS,2024-05-31,Actual,26.17
DBS,2024-06-03,Actual,26.75
DBS,2024-06-04,Actual,26.84
DBS,2024-06-05,Actual,26.79
DBS,2024-06-06,Actual,25.97
DBS,2024-06-07,Actual,26.4
DBS,2024-06-10,Actual,26.66
DBS,2024-06-11,Actual,25.81
DBS,2024-06-12,Actual,26.7
DBS,2024-06-13,Actual,26.84
DBS,2024-06-14,Actual,26.63
DBS,2024-06-17,Actual,25.93
DBS,2024-06-18,Actual,26.41
DBS,2024-06-20,Actual,26.5
DBS,2024-06-21,Actual,26.47
DBS,2024-06-24,Actual,25.96
DBS,2024-06-25,Actual,25.84
DBS,2024-06-26,Actual,26.16
DBS,2024-06-27,Actual,26.84
DBS,2024-06-28,Actual,26.575
DBS,2024-07-01,Actual,26.28
DBS,2024-07-02,Actual,27.6
DBS,2024-07-03,Actual,27.460000000000004
DBS,2024-07-05,Actual,27.390000000000004
DBS,2024-07-08,Actual,27.2
DBS,2024-07-09,Actual,27.350000000000005
DBS,2024-07-10,Actual,28.25
DBS,2024-07-11,Actual,27.260000000000005
DBS,2024-07-12,Actual,27.79
DBS,2024-07-15,Actual,28.21
DBS,2024-07-16,Actual,27.42
DBS,2024-07-17,Actual,28.16
DBS,2024-07-18,Actual,25.81
DBS,2024-07-19,Actual,25.56
DBS,2024-07-22,Actual,25.76
DBS,2024-07-23,Actual,26.41
DBS,2024-07-24,Actual,26.2
DBS,2024-07-25,Actual,26.31
DBS,2024-07-26,Actual,26.48
DBS,2024-07-29,Actual,26.16
DBS,2024-07-30,Actual,26.31
DBS,2024-07-31,Actual,26.16
DBS,2024-08-01,Actual,28.040000000000003
DBS,2024-08-02,Actual,28.34
DBS,2024-08-05,Actual,24.38
DBS,2024-08-06,Actual,24.15
DBS,2024-08-07,Actual,24.64
DBS,2024-08-08,Actual,26.0
DBS,2024-08-09,Actual,26.44
DBS,2024-08-12,Actual,24.56
DBS,2024-08-13,Actual,25.54
DBS,2024-08-14,Actual,27.69
DBS,2024-08-15,Actual,25.01
DBS,2024-08-16,Actual,26.9
DBS,2024-08-19,Actual,27.440000000000005
DBS,2024-08-20,Actual,29.09
DBS,2024-08-21,Actual,29.09
DBS,2024-08-22,Actual,29.190000000000005
DBS,2024-08-23,Actual,25.82
DBS,2024-08-26,Actual,28.5
DBS,2024-08-27,Actual,27.78
DBS,2024-08-28,Actual,28.96
DBS,2024-08-29,Actual,29.14
DBS,2024-08-30,Actual,29.64
DBS,2024-09-03,Actual,29.09
DBS,2024-09-04,Actual,28.64
DBS,2024-09-05,Actual,27.660000000000004
DBS,2024-09-06,Actual,27.76
DBS,2024-09-09,Actual,28.73
DBS,2024-09-10,Actual,28.16
DBS,2024-09-11,Actual,28.84
DBS,2024-09-12,Actual,29.34
DBS,2024-09-13,Actual,29.6
DBS,2024-09-16,Actual,29.64
DBS,2024-09-17,Actual,29.54
DBS,2024-09-18,Actual,28.47
DBS,2024-09-19,Actual,30.14
DBS,2024-09-20,Actual,31.09
DBS,2024-09-23,Actual,30.16
DBS,2024-09-24,Actual,31.69
DBS,2024-09-25,Actual,28.66
DBS,2024-09-26,Actual,31.540000000000003
DBS,2024-09-27,Actual,30.54
DBS,2024-09-30,Actual,29.100000000000005
DBS,2024-10-01,Actual,30.34
DBS,2024-10-02,Actual,29.190000000000005
DBS,2024-10-03,Actual,29.2
DBS,2024-10-04,Actual,28.51
DBS,2024-10-07,Actual,30.34
DBS,2024-10-08,Actual,30.34
DBS,2024-10-09,Actual,31.340000000000003
DBS,2024-10-10,Actual,28.36
DBS,2024-10-11,Actual,31.340000000000003
DBS,2024-10-14,Actual,30.84
DBS,2024-10-15,Actual,31.340000000000003
DBS,2024-10-16,Actual,28.56
DBS,2024-10-17,Actual,29.66
DBS,2024-10-18,Actual,28.56
DBS,2024-10-21,Actual,30.49
DBS,2024-10-22,Actual,29.85
DBS,2024-10-23,Actual,30.6
DBS,2024-10-24,Actual,28.66
DBS,2024-10-25,Actual,30.54
DBS,2024-10-28,Actual,30.54
DBS,2024-10-29,Actual,28.41
DBS,2024-10-30,Actual,29.205
DBS,2024-10-31,Actual,29.15
DBS,2024-11-01,Actual,29.42
DBS,2024-11-04,Actual,29.46
DBS,2024-11-05,Actual,30.34
DBS,2024-11-06,Actual,30.84
DBS,2024-11-07,Actual,31.44
DBS,2024-11-08,Actual,30.66
DBS,2024-11-11,Actual,31.160000000000004
DBS,2024-11-12,Actual,32.84
DBS,2024-11-13,Actual,30.71
DBS,2024-11-14,Actual,32.69
DBS,2024-11-15,Actual,33.09
DBS,2024-11-18,Actual,30.86
DBS,2024-11-19,Actual,32.44
DBS,2024-11-20,Actual,31.1
DBS,2024-11-21,Actual,32.89
DBS,2024-11-22,Actual,32.89
DBS,2024-11-25,Actual,31.775
DBS,2024-11-26,Actual,31.84
DBS,2024-11-27,Actual,30.86
DBS,2024-11-29,Actual,33.4
DBS,2024-12-02,Actual,33.24
DBS,2024-12-03,Actual,31.160000000000004
DBS,2024-12-04,Actual,31.410000000000004
DBS,2024-12-05,Actual,32.55
DBS,2024-12-06,Actual,32.0
DBS,2024-12-09,Actual,32.16
DBS,2024-12-10,Actual,32.0
DBS,2024-12-11,Actual,31.66
DBS,2024-12-12,Actual,32.84
DBS,2024-12-13,Actual,33.0
DBS,2024-12-16,Actual,32.0
DBS,2024-12-17,Actual,32.5
DBS,2024-12-18,Actual,32.84
DBS,2024-12-19,Actual,31.8
DBS,2024-12-20,Actual,32.09
DBS,2024-12-23,Actual,32.275
DBS,2024-12-24,Actual,32.775
DBS,2024-12-26,Actual,33.34
DBS,2024-12-27,Actual,32.1
DBS,2024-12-30,Actual,31.66
DBS,2024-12-31,Actual,33.34
DBS,2025-01-02,Actual,31.219999999999995
DBS,2025-01-03,Actual,32.2
DBS,2025-01-06,Actual,31.91
DBS,2025-01-07,Actual,32.84
DBS,2025-01-08,Actual,32.62
DBS,2025-01-10,Actual,32.84
DBS,2025-01-13,Actual,32.16
DBS,2025-01-14,Actual,32.84
DBS,2025-01-15,Actual,32.74
DBS,2025-01-16,Actual,32.59
DBS,2025-01-17,Actual,31.610000000000003
DBS,2025-01-21,Actual,31.010000000000005
DBS,2025-01-22,Actual,33.14
DBS,2025-01-23,Actual,30.960000000000004
DBS,2025-01-24,Actual,31.129999999999995
DBS,2025-01-27,Actual,32.59
DBS,2025-01-28,Actual,32.59
