Company Name,Price Date,Price Type,Price
ANZ,2021-06-15,Actual,21.95
ANZ,2021-06-16,Actual,21.95
ANZ,2021-06-17,Actual,22.31
ANZ,2021-06-18,Actual,22.31
ANZ,2021-06-21,Actual,20.95
ANZ,2021-06-22,Actual,21.52
ANZ,2021-06-23,Actual,21.52
ANZ,2021-06-24,Actual,21.52
ANZ,2021-06-25,Actual,21.52
ANZ,2021-06-28,Actual,21.52
ANZ,2021-06-29,Actual,21.52
ANZ,2021-06-30,Actual,21.52
ANZ,2021-07-01,Actual,21.091
ANZ,2021-07-02,Actual,21.091
ANZ,2021-07-06,Actual,21.08
ANZ,2021-07-07,Actual,21.08
ANZ,2021-07-08,Actual,21.18
ANZ,2021-07-09,Actual,20.82
ANZ,2021-07-12,Actual,20.82
ANZ,2021-07-13,Actual,20.82
ANZ,2021-07-14,Actual,20.82
ANZ,2021-07-15,Actual,20.335
ANZ,2021-07-16,Actual,20.335
ANZ,2021-07-19,Actual,20.335
ANZ,2021-07-20,Actual,20.335
ANZ,2021-07-21,Actual,20.44
ANZ,2021-07-22,Actual,20.44
ANZ,2021-07-23,Actual,20.5015
ANZ,2021-07-26,Actual,20.4385
ANZ,2021-07-27,Actual,20.3975
ANZ,2021-07-28,Actual,20.4715
ANZ,2021-07-29,Actual,20.4715
ANZ,2021-07-30,Actual,20.4715
ANZ,2021-08-02,Actual,20.4715
ANZ,2021-08-03,Actual,20.4715
ANZ,2021-08-04,Actual,20.4715
ANZ,2021-08-05,Actual,20.9
ANZ,2021-08-06,Actual,20.9
ANZ,2021-08-09,Actual,20.9
ANZ,2021-08-10,Actual,20.9
ANZ,2021-08-11,Actual,21.19
ANZ,2021-08-12,Actual,21.615
ANZ,2021-08-13,Actual,21.615
ANZ,2021-08-16,Actual,21.005
ANZ,2021-08-17,Actual,21.005
ANZ,2021-08-18,Actual,20.28
ANZ,2021-08-19,Actual,20.28
ANZ,2021-08-20,Actual,20.28
ANZ,2021-08-23,Actual,20.6
ANZ,2021-08-24,Actual,20.6
ANZ,2021-08-25,Actual,20.6
ANZ,2021-08-26,Actual,20.52
ANZ,2021-08-27,Actual,20.52
ANZ,2021-08-30,Actual,20.52
ANZ,2021-08-31,Actual,20.52
ANZ,2021-09-01,Actual,20.52
ANZ,2021-09-02,Actual,20.52
ANZ,2021-09-03,Actual,20.52
ANZ,2021-09-07,Actual,20.52
ANZ,2021-09-08,Actual,20.52
ANZ,2021-09-09,Actual,20.355
ANZ,2021-09-10,Actual,20.355
ANZ,2021-09-13,Actual,20.355
ANZ,2021-09-14,Actual,20.355
ANZ,2021-09-15,Actual,20.355
ANZ,2021-09-16,Actual,20.355
ANZ,2021-09-17,Actual,20.355
ANZ,2021-09-20,Actual,20.355
ANZ,2021-09-21,Actual,20.355
ANZ,2021-09-22,Actual,19.83
ANZ,2021-09-23,Actual,19.83
ANZ,2021-09-24,Actual,19.83
ANZ,2021-09-27,Actual,20.21
ANZ,2021-09-28,Actual,20.21
ANZ,2021-09-29,Actual,20.21
ANZ,2021-09-30,Actual,20.265
ANZ,2021-10-01,Actual,20.265
ANZ,2021-10-04,Actual,20.265
ANZ,2021-10-05,Actual,20.265
ANZ,2021-10-06,Actual,20.265
ANZ,2021-10-07,Actual,20.275
ANZ,2021-10-08,Actual,20.275
ANZ,2021-10-11,Actual,20.275
ANZ,2021-10-12,Actual,20.275
ANZ,2021-10-13,Actual,20.275
ANZ,2021-10-14,Actual,20.275
ANZ,2021-10-15,Actual,20.275
